time,field.model_name,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z,field.reference_frame
145248000000,human_drone,-0.7100000000000009,-0.2500000000000006,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
145592000000,human_drone,-0.7100000000000009,-0.2600000000000006,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
145632000000,human_drone,-0.7100000000000009,-0.27000000000000063,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
145780000000,human_drone,-0.7100000000000009,-0.28000000000000064,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
146150000000,human_drone,-0.7100000000000009,-0.29000000000000065,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
146320000000,human_drone,-0.7100000000000009,-0.30000000000000066,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
146532000000,human_drone,-0.7100000000000009,-0.31000000000000066,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
146704000000,human_drone,-0.7100000000000009,-0.3200000000000007,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
146906000000,human_drone,-0.7100000000000009,-0.3300000000000007,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
147288000000,human_drone,-0.7100000000000009,-0.3500000000000007,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
147316000000,human_drone,-0.7100000000000009,-0.3600000000000007,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
148070000000,human_drone,-0.7100000000000009,-0.39000000000000073,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
148126000000,human_drone,-0.7100000000000009,-0.40000000000000074,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
148604000000,human_drone,-0.7100000000000009,-0.41000000000000075,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
